OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
Aclaramiento consultorio Pola Office + LISTO 1PCTE,,,,0,0,abraham,,0,,$141.000,$175.000,,,"0,24",$0
Aclaramiento consultorio Pola Office 3 PCTE S POLVO Y LIQUIDO ,,,,0,0,abraham,,0,,$292.000,$365.000,,,"0,25",$0
Aclaramiento consultorio pola office bulk kit,,,,2,0,abraham,,0,04-2025,$287.900,$359.800,,,"0,25",$0
"Aclaramiento consultorio Potenza 38% (1,3+0,4)",,,,,,New stetic ,0,0,8-2025,$42.000,$65.000,,,"0,55",$0
Aclaramiento consultorio Potenza 38% 1 jeringa+ Barrera 1g+ 1 frasco Neutralizador,,,,,,New stetic ,0,0,7-2025,$65.450,$88.000,,,"0,34",$0
aclaramiento HP BLUE 6 JERINGAS ,,,,0,0,,,,,,$312.000,,,,
ACONDICIONADOR DE TEJIDOS COE CONFORT LIQUIDO,GC,promo $77.700,,0,0,LA MUELA - DORA - RAMON - masdental ,,,,$80.808,$120.000,exc,$110.000,"0,49",$0
ACONDICIONADOR DE TEJIDOS COE CONFORT POLVO ,GC,,,0,0,LA MUELA - DORA - RAMON - masdental ,,,,$97.275,$130.000,exc,$120.000,"0,34",$0
ACONDICIONADOR DE TEJIDOS COE CONFORT Y COE SOFT X PORCION ,GC,,,0,0,La Muela,,,,$8.667,$20.000,,,"1,31",$0
ACONDICIONADOR DE TEJIDOS COE SOFT LIQUIDO ,GC,,,0,0,LA MUELA - DORA - RAMON - masdental ,,,,$80.808,$120.000,exc,,"0,49",$0
ACONDICIONADOR DE TEJIDOS COE SOFT POLVO,GC,,,0,0,LA MUELA - DORA - RAMON - masdental ,,,,$87.241,$120.000,exc,,"0,38",$0
ACOPLE CORDEN PARA PIEZAS UNIDAD ,,,,0,0,larry alfredo,,,,$25.000,$35.000,,,"0,40",$0
