OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
Hu Friedy Cucharilla Hu-Friedy instrumental ,HU FRIEDY daza $177072 abraham $98000,BA,,0,0,Daza - La Muela ABRAHAM,,,,$55.000,$90.000,,,"0,64",$0
Hu-Friedy Cureta Gracey 1/2   instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 11/12   instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 13/14  instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 17/18  instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 3/4   instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 7/8  instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Gracey 9/10   instrumental ,HU FRIEDY,DAZA $138050,,0,0,Daza - La Muela ABRAHAM,,,,$138.050,$174.000,,,"0,26",$0
Hu-Friedy Cureta Mc Call  13/14  instrumental ,HU FRIEDY,DAZA $179950,,0,0,Daza - La Muela ABRAHAM,,,,$179.950,$198.000,,,"0,10",$0
Hu-Friedy Cureta Mc Call 17/18  instrumental ,HU FRIEDY,DAZA $179950,,0,0,Daza - La Muela ABRAHAM,,,,$179.950,$198.000,,,"0,10",$0
Hu-Friedy Eplorador  instrumental ,HU FRIEDY daza $93296 abraham $71500,BA,,0,0,Daza - La Muela ABRAHAM,,,,$93.296,$110.000,,,"0,18",$0
Hu-Friedy ESPATULA DE TITANIO TNCIGFT3,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$128.900,$160.000,,,"0,24",$0
Hu-Friedy Espejo completo mango + espejo instrumental,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,h,$114.000,$145.000,,,"0,27",$0
Hu-Friedy FP3 Teflon TNPFIW3 instrumental ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$128.900,$170.000,,$150.000,"0,32",$0
Hu-Friedy GRAPAS # 2 ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,revisar,,$31.500,$45.000,,,"0,43",$0
HU-FRIEDY Jeringa Carpule  ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,revisar,,$158.000,$230.000,,,"0,46",$0
Hu-Friedy kit basico  CON Sonda instrumental ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$266.000,$350.000,,,"0,32",$0
Hu-Friedy Kit basico  SIN Sonda  instrumental ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$210.000,$280.000,,,"0,33",$0
Hu-Friedy Kit grapas x7 RDCSET70424,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$333.200,$440.000,,$390.000,"0,32",$0
Hu-Friedy LUNA Espejo doble  instrumental ,HU FRIEDY daza $44982 abraham $37000,BA,,0,0,Daza - La Muela ABRAHAM,,,h,$37.000,$54.000,,,"0,46",$0
Hu-Friedy LUNA Espejo sencillo  instrumental basico,HU FRIEDY  abraham $20680,BA,,0,0,Daza - La Muela ABRAHAM,,,h,$20.680,$45.000,,,,
Hu-Friedy Mango Espejo instrumental ,HU FRIEDY abraham $77000,BA,,0,0,Daza - La Muela ABRAHAM,,,h,$77.000,$98.000,,,"0,27",$0
Hu-Friedy Pinza algodonera instrumental ,HU FRIEDY daza $84728 abraham $77000,BA,,0,0,Daza - La Muela ABRAHAM,,,,$84.728,$105.000,,,"0,24",$0
Hu-Friedy Sonda Carolina Nte PCPUNC156 ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$107.900,$160.000,,,"0,48",$0
Hu-Friedy Sonda de Nabers color instrumental ,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$89.000,$140.000,,,"0,57",$0
Hu-Friedy Sonda periodontal BASICO,HU FRIEDY,,,0,0,Daza - La Muela ABRAHAM,,,,$54.000,$90.000,,,"0,67",$0
hydcal hidcal dycal cemento hidroxido calcio pasta pasta ,,,,0,0,SOCCIDENTALES,,1,,$33.440,$48.000,,$42.000,"0,44",$0
indicador biologico BT20,,,,0,,integrom esteripac,,1,,6367,$12.000,,$10.000,"0,88",$0
interlig,,,,,,abraham,,1,,$65.600,$110.000,,,,
Ionomero base intermedia I LINER ,,,,0,0,Gabriel velasquez,,0,,$45.800,$60.000,,,"0,31",$0
ionomero cementante IONGLASS C,COMPRE 49900,,No llego 14 AB,6,0,SOCCIDENTALES,,0,,$52.712,$72.000,EXC,$65.000,"0,37",$0
Ionomero RIVA self cure SDI,,,,0,0,abraham ,,0,,$90.320,$112.000,,,"0,24",$0
"Ionosit Baseliner 0,33 gr. DMG",,,,0,0,abraham ,,2,12-205,$15.400,$19.300,exc,,"0,25",$0
IVOCLEAN,,,,,,masdental emma EURODENT,,0,,$380.000,$460.000,,,"0,21",$0
Jabon antibacterial  320 ML brisa fresca PROQUIDENT,,AGOTADO,,,,PROQUIDENT,,2,,$6.653,$12.000,,,"0,80",$0
Jabon antibacterial  500 ML  PROQUIDENT,,,,,,PROQUIDENT ,,0,,$6.678,$12.000,,,"0,80",$0
Jabón antibacterial 950 ML,,,,0,0,clay ,,0,,$11.182,$18.000,,,"0,61",$0
Jabon antibacterial liquido baño unidental,,,,0,0,D1,,0,,$3.000,$5.000,,,"0,67",$0
JABON DE MANOS 500ML bonfar,,,,0,0,EUFAR,,3,06-2027,$15.393,$18.000,IVA,,"0,17",$0
Jabon en polvo para lavar,,,,0,0,D1,,0,,$3.000,$4.000,,,"0,33",$0
jabon enzimatico  x 100 ml proquident PROQUIZYME,PROQUIDENT $5280 PRODONT $6993 GARHOX $7735,,,,,PROQUIDENT,,33,10-2025,$5.280,$12.000,,,"1,27",$0
Jabon Enzimatico  x 120 cc prodont ,PROQUIDENT $5280 PRODONT $6993 GARHOX $7735,,,10,20,PRODONT,,7,04-2027,$9.001,$12.000,exc,,"0,33",$180.020
Jabon Enzimatico  x 120ml DE ORGANICA,PROQUIDENT $5280 PRODONT $6993 GARHOX $8500,,,0,0,NURIA,,18,02-2027,$7.000,$12.000,,,"0,71",$0
jabon enzimatico  x 500 cc organica,,,,0,8,nuria,,28,11-2025,$18.500,$28.000,,$24.000,"0,51",$148.000
jabon enzimatico  x 500 ml proquident,,,,,,PROQUIDENT,,29,06-2026,$19.182,$28.000,,$24.000,"0,46",$0
Jabon Enzimatico  x GALON DE ORGANICA,,,,0,0,nuria,,1,,$58.000,$84.000,,$72.000,"0,45",$0
JABON LIQUIDO HIGIENOL,,,,0,,RAMON,,,,$6.500,$10.000,,,"0,54",$0
Jabon multienzimatico bactixide 500 ml ,,BORRAR,,0,0,PRODONT,,0,,,,,,#DIV/0!,$0
JABON POR 480,,,,0,0,clay ,,0,,$7.597,$9.000,,,N/V,$0
Jeringa carpule INSTRUMENTAL DELTA ,SYRB,AGOTADO,,0,,DELTA ,0,,,$109.008,$160.000,,,"0,47",$0
Jeringa desechable 10 ml,Allers $362,,,0,0,ALLERS,,100,,$362,$800,"0,1",,"1,21",$0
Jeringa desechable insulina 1ml,Allers $207,,,0,0,ALLERS,,200,,$248,$500,,,"1,02",$0
Jeringa desechable precision 20 ML,Allers $525,,,0,0,ALLERS,,100,,$447,$1.000,,,"1,23",$0
Jeringa desechable precision 5 ML,Allers $230,,,0,0,ALLERS,,300,,$225,$600,,,"1,67",$0
Jeringa triple,IMPORQ $33000,,,0,0,RAMON Hector LARRY,,,,$40.000,$70.000,,,"0,75",$0
Kit 20 discos pulir blancos TIPO ENHANCE,    ,,,0,0,IMPORTADA,,0,,$33.000,$140.000,,,"3,24",$0
KIT ALTA DINALED + KIT BAJA FX23 push botton NSK,NSK,,,0,0,LA MUELA,,1,,$4.551.500,$4.900.000,,,"0,08",
kIT BANDA MATRIZ PREFORMADA TOR - AZDENT  #1398,,,,0,0,IMPORTADA,,7,, $16.399,$70.000,,,"3,27",$0
KIT BLUSA + PANTALON L,,,,0,0,BIOSALUD,,0,,$4.900,$9.000,,,"0,84",$0
KIT BLUSA + PANTALON M,,,,0,0,BIOSALUD,,0,,$6.900,$9.000,,,"0,30",$0
KIT BLUSA + PANTALON S,,,,0,0,BIOSALUD,,0,,$4.900,$9.000,,,"0,84",$0
KIT CONTRASTADORES PARA FOTO NEGROS X6 ,,,,0,0,IMPORTADA,,8,,$101.737,$260.000,,$190.000,"1,56",$0
KIT CUBETA TRANSPARENTE COLTENE,,,,0,0,ULTRADENTAL,,20,,,$25.000,,,,
KIT DE BAJA EX - 203C Set  Push contra angulo ,,,,0,0,LARRY ,,0,,$260.000,$450.000,,,"0,73",$0
KIT DE BAJA FX CONTRA ANGULO FX22 pestillo NSK ORIGINAL,NSK,,,0,0,LA MUELA,,1,,$2.452.400,$2.700.000,,,"0,10",
KIT DE BAJA FX CONTRA ANGULO FX23 NSK ORIGINAL,NSK,,,0,0,LA MUELA,,1,,$2.452.400,$2.700.000,,,"0,10",
KIT DE FRESA STARTER JOTA 1937,,,,,,jota new stetic,0,,,$35.403,$60.000,,,"0,69",$0
KIT DE PULIDO PARA RESINA PIEZA DE BAJA ,,,,0,0,IMPORTADA,,0,,$17.000,$35.000,,,"1,06",$0
Kit de pulidores de fieltro,,,,0,0,importado,,3,,,,,,,
KIT DE PULIDORES PARA PORCELANA,240041,,,0,0,Masterdent AQUILES,,2,,$45.978,$70.000,,,"0,52",$0
KIT DE PUNTAS PARA PORCELANA,240043,,,0,0,Masterdent,,28,,$45.978,$70.000,,,"0,52",$0
KIT DE REPARACION ANGELUS OPACADOR + ACIDO + SILANO,,,,0,0,ABRAHAM,,0,,$112.000,$141.000,,,"0,26",$0
KIT DE Resina FGM (adhesivo 4ml - 4 resinas  + Acido),,,,0,0,FGM soccident,,,,$202.000,$270.000,,,"0,34",$0
KIT DE Resina FGM (adhesivo 6ml - 5 resinas  + con fluida y acido de maquira),,,,0,0,FGM soccident,,,,$190.000,$240.000,,,"0,26",$0
kit disco soflex + mandril cuatro colores azul blanco,,,,0,0,importado,,3,, $21.865,$70.000,,$50.000,,
KIT Discos soflex 3M 120 DISCOS + MANDRIL + 6 ESPIRALES ESSENCIAL,,,,0,0,GAB VEL  ,,0,,$364.000,$430.000,,$380.000,"0,18",$0
KIT ESPATULAS PARA RESINA,,,,0,0,IMPORTADA,,7 azul 1 dorado,,$87.500,$240.000,,$190.000,"1,74",$0
KIT ESPECIAL TDV FOTO KIT SURTIDO , ,,,2,0,ABRAHAM,,0,,$292.300,$365.000,,,"0,25",$0
"KIT ESTUDIANTIL PIEZA ALTA PANA MAX PLUS 2 estandar CON 4 IRRIGACION, PUSH, VALVULA ANTIRETORNO con 30 de torque +  kit BAJA FX23(push botton) NSK + cartuchera + bono 15% de descuento en aceite ",NSK,,,0,0,LA MUELA ,,0,,$2.782.560,$3.150.000,,$3.080.000,"0,13",$0
kit estudiantil SILICONA 1 pesada x 200ML  + 1 liviana ZHERMACK,GABRIEL VELASQUEZ $142000,Silic KIT,,,,RAMON market masdental EURODENT,,,,$142.000,$250.000,,$190.000,"0,76",$0
kit estudiantil SILICONA 2 pesadas x 200ML  y 1 liviana ZHERMACK,RAMON $243700 //MARKET 241000 // CESAR $265900 // eurodent $246351,Silic KIT,,,,RAMON market masdental EURODENT,,,,$223.000,$350.000,,,"0,57",$0
KIT Estudiantil Silicona SPEEDEX COLTENE ,108048 x 30,,pedi nov 6,0,31,ULTRADENTAL ,,4,11-2026,$121.879,$160.000,EXC,$140.000,"0,31",$3.778.237
KIT Fresas FG AZDENT,,,,0,0,IMPORTADA,,0,, $4.023,$50.000,,,"11,43",$0
KIT Fresas para pulir Amarilla AZDENT,,,,0,0,IMPORTADA,,0,,$4.498,$50.000,,,"10,12",$0
KIT Fresas para pulir ROJAS AZDENT,,,,0,,RAMON,,,,$4.498,$50.000,,,"10,12",$0
kit GRANDE SILICONA PESADA ZHERMACK 900GM  sola,masdental $584900,Silic KIT,,,,RAMON masdental EURODENT,,,,$520.000,$590.000,,$540.000,"0,13",$355.667.676.000
kit GRANDE SILICONA PESADA 900GM + 2  livianas ZHERMACK ,masdental $584899,Silic KIT,,precio,683976,RAMON masdental EURODENT,,,,$683.976,$780.000,,$720.000,"0,14",#REF!
kit Grapa BRINKER COLTENE X6 SUBGINGIVAL,,,pedi nov 6,0,2,ultradental,,0,,$279.650,$380.000,,,"0,36",$559.300
kit Grapa FIESTA COLTENE CON ALAS X 9,,,pedi nov 6,0,15,ultradental,,0,,$291.550,$380.000,,,"0,30",$4.373.250
kit Grapa FIESTA COLTENE SIN ALAS X 9,,PEDI A ULTRAD,pedi nov 6,0,2,ultradental,,0,,$291.550,$380.000,,,"0,30",$583.100
KIT INFANTIL HIGIENE ORAL ,,,pedir,0,20,ZENDENT DENTOLINE,,4,04-2024,$5.435,$10.000,,,"0,84",$108.700
KIT ORTODONCIA CON CREMA, febrero 2025 ZENDENT$10932  DENTLIN $9314 PROQUD $9089,,,0,0,ZENDENT DENTOLINE,,revisar 30,,$9.089,$14.000,,,"0,54",$0
KIT ORTODONCIA SIN CREMA,febrero 2025 ZENDENT$9593 DENTLIN$7557,,,0,0,ZENDENT DENTOLINE,,0,,$7.429,$12.000,,,"0,62",$0
KIT P60 Caja  3M + adhesivo,,,,0,,RAMON,,,,$1,$1,EXC,,"0,00",$0
kit para encerado colores NEON caja x 4 BONDENT,,,,0,0,BONDENT,,,,$33.700,$44.000,,,"0,31",$0
kit para encerado colores NEUTRO caja x 4 BONDENT,,,,0,0,BONDENT,,,,$33.700,$44.000,,,"0,31",$0
kit para encerado colores PASTEL caja x 4 BONDENT,,,,0,0,BONDENT,,,,$33.700,$44.000,,,"0,31",$0
KIT PIEZA DE BAJA PIEZA MICROMOTOR PUNTA  RECTA,,BORRAR ,,0,0,LARRY ,,,,$220.000,$220.000,,,"0,00",$0
KIT PINCELES TEXTURIZADORES PARA RESINA,,,,0,0,IMPORTADA,,GRANDE: 1 BLANCO 6 GRIS 1 NEGRO PEQUEÑO: NEGRO 23 BLANCO 21 ,,$38.000,$80.000,,,"1,11",$0
KIT pulido amalgama,,BORRAR,,0,,RAMON,,,,,,,,#DIV/0!,$0
KIT pulido amalgama e inscrustaciones metálicas,,BORRAR,,0,,RAMON,,,,,,,,#DIV/0!,$0
Kit Pulido DISILICATO RA X5 JOTA 1440,,walbin PUL,,0,0,JOTA,,0,,$182.750,$270.000,,,"0,48",$0
Kit pulido microdont con mandril ,,,,0,0,CLAUDIA,,0,,$60.000,$60.000,,,"0,00",$0
KIT PULIDO PORCELANA RA 2112 ,,,,0,0,IMPORTADO,,3,,$60.000,$110.000,,,"0,83",$0
KIT PULIDO RESINA CON ARKANZAS AZDENT ,,,pedir ,0,20,IMPORTADA,,6,,$13.438,$40.000,,,"1,98",$268.760
Kit Pulido resina diamante espiral RA X2 1921 JOTA,"NEW $103,411  / JOTA $97750",,,,,JOTA New Stetic,0,,,$103.411,$150.000,,$148.000,"0,45",
Kit Pulido resina diamante pulidores siliconados 1899 JOTA,NEW $84500 / JOTA,,,,,JOTA New Stetic,0,,,$84.500,$130.000,,$110.000,"0,54",
KIT PULIDO RESINA RA 1112 ,,,,0,0,IMPORTADO,,6,,$60.000,$110.000,,,"0,83",$0
Kit Pulido zirconio RA X5 JOTA 1440 o 1441,,,,,,JOTA  New Stetic,0,,,$208.250,$270.000,,,"0,30",$0
KIT PULIDO ZIRCONIO RA3112,,,,0,0,IMPORTADO,,3,,$110.000,$180.000,,,"0,64",$0
KIT PUNTAS DE SILICONA PARA ACRILICO HP 0412,,,,0,0,IMPORTADO,,5,,$21.000,$54.000,,,"1,57",$0
Kit Resinas estudiantil Zafira X 6 jeringas + acido 10ml + adhesivo 8ml,,,,,,New Stetic,0,,,,,,,,
Kit Resinas estudiantil Zafira X 7 JERINGAS,,,,,,New Stetic,0,,,$400.000,$479.000,,,"0,20",$0
Kit silicona Pesada + liviana  COLTENE president,,Silic KIT,,0,0,ULTRADENTAL ,,0,,$226.900,$290.000,,,"0,28",$0
kit silicona pesada 400  y Liviana Panasil,,Silic KIT,,,,JULVIDENT panasil,,,$280,$271.000,$280.000,,$270.000,"0,03",$0
kit silicona pesada 900  + 2 Livianas Panasil,,Silic KIT,,,,JULVIDENT panasil,,,,$522.720,$650.000,,,"0,24",$0
KIT T ECONOM A1 A2 A3 y B2 + adhesivo + acido,,,,0,4,masdental emma EURODENT,,,,$178.000,$230.000,,,"0,29",$712.000
KIT TENSIOMETRO Y FONENDO DOBLE ,,,,0,0,AQUILES,,1,,$60.690,$75.000,,,"0,24","0,00"
KIT TETRIC X 4 JERINGAS,,,,0,0,masdental emma EURODENT,,,,$417.000,$495.000,,,"0,19",$0
KIT UNIDAD odontologia,,,,0,0,BIOSALUD,,67,,$4.900,$9.000,,,"0,84",$0
KIT Universitario Maletin 3M,,,,0,,RAMON,,,,$214.000,$260.000,,,"0,21",$0
kit X 8 fresas diatech OPERATORIA,,,,0,0,Gabriel Velasquez ULTRADENTAL,,3,,$109.023,$144.000,,,"0,32",$0
kit X 8 Fresas diatech PULIDO,,,pedi nov 6,0,1,Gabriel Velasquez ULTRADENTAL,,2,,$109.024,$144.000,,,"0,32",$109.024
kit X 8 Fresas diatech REHABILITACION,,,pedi nov 6,0,1,Gabriel Velasquez ULTRADENTAL,,2,,$109.024,$144.000,,,"0,32",$109.024
Kit zirconio pequeno HP X7,,,,0,0,JOTA ,,revisar,,$110.000,$310.000,,,"1,82",$0
Kits de pulido de porcelana  AZDENT HP 0312,,,,0,0,IMPORTADO,,,, $18.498,$55.000,,,"1,97",
KN95 TAPABOCAS 3D X20 EMPAQUE INDIVIDUAL,,,,0,,CENTRO HOYOSTOOL mundial,,,,$900,$4.000,,,"3,44",$0
KN95 TAPABOCAS blanco x30 / x50,mundial $400,,,0,,mundial,,,,$900,$4.000,,,"3,44",$0
KN95 TAPABOCAS X10 EMPAQUE INDIVIDUAL,mundial $9000 x20u,,,0,,CENTRO HOYOSTOOL mundial,,,,$900,$4.000,,,"3,44",$0
koolineR GC  REBASE ,promo $380.100,,,0,0,LA MUELA - masdental ,,2,04-2026,$395.304,$495.000,,$440.000,"0,25",$0
koolineR GC  REBASE PORCION ,,,,0,0,LA MUELA - masdental ,,,,$61.875,$70.000,,,"0,13",$0
Lampara 1 segundo azdent tipo woopecker,,,,0,0,importado,,3,,$136.000,$460.000,,,"2,38",
LAMPARA CURINGPEN CAJA BLANCA eighteeth,,,,0,1,FGM,,0,,$743.000,$1.050.000,,,"0,41",
LAMPARA CURINGPEN-E CAJA AZUL eighteeth,,,,0,0,FGM,,1,,$384.000,$540.000,,$480.000,"0,41",
LAMPARA DE FOTOCURADO I-LED  FIBRA plastica woopecker,,,,0,0,DAZA,,,$238.000,$250.000,$420.000,,$370.000,"0,68",
LAMPARA DE FOTOCURADO I-LED MAX FIBRA METAL woopecker,,,,0,0,DAZA,,4,$380.800,$380.000,$540.000,,$480.000,"0,42",$0
Lampara led Valo Grand,gabriel vel $5.000.000 pluss $6.173.000,,,0,0,gabriel velasquez pluss dent,0,,,$5.000.000,$5.500.000,,,"0,10",
Lampara metalica LED Caja  Blanca ,,,,0,0,BOGOTA,,,,$150.000,$350.000,,$240.000,"1,33",
Lampara pasta LED Caja  Blanca ,,,,0,0,importado,,2,,$130.000,$280.000,,,,
LAPIZ PARA PIEZA DE MANO,,,,0,0,IMPORTADA,,0,,,$240.000,,,,
LC Block-out Resin ultradent,,,,0,0,Gabriel Vel pluss ,0,0,,$18.300,$23.000,EXC,,"0,26",$0
LECHADA DE CALCIO SIDCAL X 500 ML prodont,,,,0,0,PRODONT ,,1,02-2026,$9.427,$14.000,exc,,"0,49",$0
LENTULO # 25 X UNIDAD ,,,,0,,RAMON IMPORTADA,,,,$7.000,$10.000,,,"0,43",$0
LENTULO # 30 X UNIDAD ,,,,0,,RAMON IMPORTADA,,,,$7.000,$10.000,,,"0,43",$0
LENTULO # 40 X UNIDAD ,,,,0,,RAMON IMPORTADA,,,,$7.000,$10.000,,,"0,43",$0
Lija  180 caja x 50,,,,,,CENTRO HOYOSTOOL,,,,$123,$500,,,"3,08",$0
Lija  400 COD caja x 50,,,,,,CENTRO HOYOSTOOL,,,,$123,$500,,,"3,08",$0
Lija de Papel COLORES EPITEX,,,,0,0,IMPORTADO,,VERDE  1 MORADA 4 AMARILLA 4,, $10.058,$48.000,,,,
Lima hedstroem primera serie 25mm,,,,0,0,abraham ,,,,$12.940,$22.000,,$18.000,"0,70",$0
Lima hedstroem segunda serie 25mm,,,,0,0,abraham ,,,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta preserie en 21mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta preserie en 25mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta preserie en 31mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta primera en 21mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta primera en 25mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta primera en 31mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta primera y segunda serie estuche ,,,,0,0,abraham ,,0,,$14.340,$25.000,,$20.000,"0,74",$0
Limas Fanta segunda en 21mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta segunda en 25mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
Limas Fanta segunda en 31mm,,,,0,0,abraham ,,0,,$12.940,$22.000,,$18.000,"0,70",$0
LIMAS FLEXOFILE 21mm 1ra serie,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 15,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 20,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 25,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 30,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 35,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm # 40,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 25mm 1ra serie,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm # 15,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",#REF!
LIMAS FLEXOFILE 31mm # 20,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm # 25,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm # 30,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm # 35,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm # 40,,,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS FLEXOFILE 31mm 1ra serie,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$39.270,$62.000,,,"0,58",$0
LIMAS K-FILE 21mm 2da serie,,,,0,,Dentsplay Ramon ,,,,$55.335,$72.000,,$64.000,"0,30",$0
LIMAS K-FILE 25mm 2da serie,,,,0,,Dentsplay Ramon ,,,,$55.335,$72.000,,$64.000,"0,30",$0
LIMAS K-FILE 31mm 2da serie,,,,0,,Dentsplay Ramon ,,,,$55.335,$72.000,,$64.000,"0,30",$0
Limas K-file prime line  COLTENE #6 25mm CJ X6,,,,0,0,ULTRADENTAL,,0,,$19.440,$32.000,,,"0,65",$0
Limas K-file prime line COLTENE  #8 25mm CJ X6,,,,0,0,Gabriel Velasquez ULTRADENTAL,,0,,$19.440,$32.000,,,"0,65",$0
Limas K-file prime line COLTENE # 10 25mm CJ X6,,,,0,0,Gabriel Velasquez ULTRADENTAL,,0,,$19.440,$32.000,,,"0,65",$0
Limas K-file prime line COLTENE #15-40 25mm CJ X6,,,,0,0,Gabriel Velasquez ULTRADENTAL,,0,,$19.440,$32.000,,,"0,65",$0
Limas K-file prime lineCOLTENE  #45-80 25mm CJ X6,,,,0,0,Gabriel Velasquez ULTRADENTAL,,0,,$19.440,$32.000,,,"0,65",$0
LIMAS M-ACCESS 25mm  # 15,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm # 20,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm # 25,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm # 30,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm # 35,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm # 40,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm 1ra serie,,,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 25mm 2da serie,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS M-ACCESS 31mm 2da serie,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$23.145,$32.000,,$28.000,"0,38",$0
LIMAS PRESERIE  # 21 en 10,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 21 en 6,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 21 en 8,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 21 juego  6 - 8 - 10,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 25 en  6,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 25 en 10,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 25 en 8,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
LIMAS PRESERIE  # 25 juego  6 - 8 - 10,,,,0,,Dentsplay Ramon ,,,,$44.625,$58.000,,,"0,30",$0
